标题,标题链接,头像,字段1,xi2,num,字段2,字段3,new
广州深圳校友群大全——终于找到组织了！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=656433&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2015-6-23,5,2429,huan3812374,,
有同学想参加java竞赛吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=973211&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-11-3,5,1327,a67587,,
请问华农校医院可以打乙肝疫苗吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=973295&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-11-3,4,1250,201430020330,,
求工程学院群，汽车相关专业亦可,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=971881&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-10-26,3,704,索大的三刀流,,
5月31号，启林南操场那个跑八圈的姑娘！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=921992&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-5-31,39,4666,华农外联,,
【通知】华山、燕山的童鞋可以用微信预付费用电啦！！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=973895&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-11-7,5,897,圆碌碌哒汤圆节,,
活动宣传|给你一张戏剧人生的试听券,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=971731&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-10-25,0,651,风吹沙,,
想问下三角市二楼还有打印店吗？求联系方式,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=971653&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-10-24,2,857,洋桃派,,
问问华农附近有什么驾校比较好？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=955279&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-29,3,1238,zwx0060,,
有人知道园林公司在哪吗—农事训练,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=970226&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-10-16,5,1170,书记夸我好少年,,
学姐教你们如何转专业&申请提前毕业,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=808038&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2015-9-9,29,6988,daiyun2016,,
快到体质测试辣！！体育渣表示感觉药丸,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=970166&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-10-16,8,924,圆碌碌哒汤圆节,,
请问现在启林北宿舍区停车免费吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=969692&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-10-13,3,697,圆碌碌哒汤圆节,,
红满堂——属于华农人的历史符号,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=949400&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-14,16,2832,微生物好烦,,
有缘再见,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=925188&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-14,18,2089,訾叶,,
华农，我来这里快四年了···,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=283827&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2011-12-22,52,6481,訾叶,,
毕业后回校创业，建议从哪里入手？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=936903&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-12,10,1441,圆碌碌哒汤圆节,,
寻找校内有执行力的团队,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=966040&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-9-20,6,694,寂寞的秋天,,
毕业了，校园卡的钱一直是待圈存状态,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=935741&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-7,4,3246,物语血殇,,
华农鬼故事之教四608（转）,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=204449&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2010-12-19,66,11159,贪狼,,
急！关于中山三院住院报销,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=965154&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-9-15,6,1276,Gukangyuan,,
华农医保报销,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=857466&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2015-10-25,4,1805,carrie咯,,
现在还有华农树洞吗？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=964710&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-9-12,9,1048,ChenJY2163,,
华农的朋友们，考研英语自学好还是报班学习比较好？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=954375&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-26,13,1592,1003huizi,,
这首歌也不错,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=964725&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-9-12,0,378,丸子神,,
芷园移动摆摊充值五十送四百，什么人可以参加,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=963863&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-9-8,1,757,g360325322,,
拖延症怎么治？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=941988&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-26,20,1259,Zoe-shumin,,
（有偿）找一位同学帮忙到学校档案馆打印我的成绩单,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=927888&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-26,1,781,who-knows,,
【帮转】华农小树洞复活啦！！！树洞的“查令十字街84号”新玩法,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=963381&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-9-5,0,504,张雄锋,,
华农有滑板社吗，大三了还要吗~,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=963361&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-9-5,0,591,122535031,,
师弟们，现在教五教学楼一楼的空地可以停车吗？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=944825&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-5,4,692,atmpower,,
【通知】假期归还图书免责期限,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=955614&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-30,5,859,q445649252,,
大四狗闲的蛋疼，可代上课~,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=955885&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-31,1,1171,Ida,,
会根据实在,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=955877&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-31,0,643,程空万里1,,
【醒目】想问下竹园宾馆和五山街那些宾馆的价格！！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=322213&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2012-6-12,7,4337,lsyan,,
华农的同伴们，求考研备考英语方法？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=953523&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-23,2,885,超级小麦,,
求问动物生物技术学费多少,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=955414&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-30,0,754,梁先生减肥,,
有没有人一起考托福和日语等级证的，图书馆约吗？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=944362&extra=page%3D6,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-4,1,675,babybearxu,,
华农学生在学校旁边有房子-找室友ing,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=953349&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-22,3,763,satan021,,
帮博士找个GIS大三的学生一起搞学术,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=954247&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-25,3,638,纯情舞者,,
毕业照拍摄志愿者 欢迎预约,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=312515&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2012-5-15,3,1237,小公子,,
失物招领-------13级工程学院同学身份证,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=953248&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-22,0,533,dev-celvin,,
【寻猫记】,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=952893&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-20,0,736,麦兜的马尔代夫,,
华农学子七夕送花 广州送货上门,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=946671&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-9,1,661,H5营销大神,,
学车优惠活动来了！！！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=952495&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-18,0,934,mhm,,
怎么样才能租到学校的教室？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=950531&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-16,0,708,纯情舞者,,
想问问研究生有街舞队吗？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=908601&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-4-29,2,660,橘子桑,,
会根据实在,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=947550&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-12,0,639,程空万里1,,
大四师姐 手绘书籍一些生活用品出,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=947124&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-11,0,669,随阑寻雨,,
研究生周边都是外省的，想要有一位朋友每天没事可以用粤语聊天的~~有吗，我想学粤语,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=943890&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-2,7,784,confronted,,
会根据实在,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=944492&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-5,2,601,程空万里1,,
找个会神经网络算法的人,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=942203&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-27,10,1266,15902073151,,
现在还在学校的 骑车 游泳羽毛球 约,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=943314&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-31,5,736,T恤仔,,
图书馆：你选书、我买单,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=111163&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2009-10-28,9,1559,463364424,,
替一个朋友问问有关恒大球迷,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=943668&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-8-1,1,472,小乔妹妹,,
华农附近的租房或者旅馆有吗？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=858288&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2015-10-27,20,4937,201330530102,,
二战师兄想在华山，五山的师弟空闲宿舍求租,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=942240&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-27,3,891,一书and一世界,,
华农的筒子们，有谁要参加这个活动吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=942402&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-28,2,550,小乔妹妹,,
图书馆2009年“你选书，我买单”荐书活动的通知,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=102492&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2009-9-16,10,1494,sxb01abc,,
暑假图书馆开门时间????,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=942542&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-28,3,918,ppseeker,,
暑假启林北的后门开吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=942249&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-28,2,587,sinonhecate,,
广东新生同乡会微信群！各位新生老生都加进来吧！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=937890&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-15,2,920,zx1108585,,
金融相关专业/行业的童鞋请进,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=888262&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-3-4,2,1136,120度直视,,
想合租，华农女生，13544320556,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=935946&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-8,4,940,120度直视,,
考研合租（要求女生）,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=925190&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-14,4,988,120度直视,,
暑假放假时间,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=939801&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-17,2,680,120度直视,,
华农湖北同乡群！华农滴湖北伢都来加啊！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=323481&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2012-6-17,11,1376,8166761,,
我想开个直播，有好的手机直播软件介绍吗？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=940387&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-20,4,1149,8166761,,
组队去参加著名国际性学生竞赛RICT交流会~~！！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=941022&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-22,0,730,ceciliawu,,
收周杰伦广州演唱会的门票,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=940381&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-20,1,613,我的花泽不再,,
从打印店说起--分享下一下毕业设计论文的一点经验,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=557827&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2014-5-6,45,7482,logicad,,
7.15晚广州塔荧光夜跑，大型户外活动，来组队,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=937703&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-14,14,1173,qiu5372890,,
"挺尸来了,有个录取的问题问下大家",http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=937862&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-15,5,1068,2496716213@qq.c,,
深圳坪洲地铁口招租啦~~~~3800四房~~有师姐罩着~~233,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=937361&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-13,2,938,5月,,
7月1日周五白云山夜登徒步登山求组队,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=933484&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-30,4,946,confronted,,
【暑假哪里吃】关于饮食中心各食堂/面点部暑假营业安排的通知,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=931252&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-30,20,2767,华农武协吉祥物,,
不小心撕了学生证上那个学生票磁条的黄色部分,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=935770&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-7,7,1255,ChenJY2163,,
师姐白菜价出广州酒家蛋糕券（包邮）,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=936976&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-12,0,1097,Winfield学剪枝,,
海淘基地创业推介会【诚邀大家参加！】,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=936904&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-12,0,1542,add点滴,,
租借校园卡,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=936880&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-12,0,631,IsEven,,
想组建个团队做点事情 有兴趣的我们教三或者六一聊,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=936742&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-11,2,579,菜菜子大神,,
珠海华农抱团群！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=936706&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-11,0,524,joojooo,,
大家暑假会做些什么呢？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=936591&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-11,0,500,gyq123456,,
钱包遗失，欲哭无泪，望有好心人能拾到。,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=936373&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-10,3,644,gyq123456,,
有五山的盆友一起打乒乓球吗~~,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=900976&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-4-6,16,1809,dafengche,,
寻找想做电商你的一齐合作,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=936041&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-8,0,517,爱如潮水1985,,
华农华工附近的短期招租~地点在茶山！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=935765&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-7,1,813,babybearxu,,
有在读的兽医专业的师弟或师妹吗？有些问题想咨询,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=923248&extra=page%3D7,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-5,3,738,五代雄介,,
游泳作弊，会影响学位证书吗？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=582860&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2014-9-15,37,4277,434469903,,
有谁想要去酒会的吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=935300&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-6,0,560,mrkeshengji,,
【1820工作室赞助合作】,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=934853&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-5,0,598,1820工作室,,
呀！我有个问题~~,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=934327&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-2,3,929,什么名都被占用,,
缺考是要重修还是补考，对学分绩点有什么影响,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=933920&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-7-1,2,1269,屋里滔滔,,
求驴友,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=909014&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-5-3,9,945,Nic_Huang,,
老校友咨询，麻烦热心解答,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=933028&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-30,8,776,老校友,,
女生华农校内求合租,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=926538&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-20,5,1060,dafengche,,
搬宿舍,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=933489&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-30,0,571,寒冬阳春三月,,
微信公众号：三农研究（微信号：TRAI2016）上线了,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=877642&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-1-6,7,924,老校友,,
宿舍不再热闹,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=925199&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-14,8,1041,老校友,,
想领养只汪汪,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=923826&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-7,12,1176,sylar灰,,
毕业季优惠活动！毕业生必看！！！！！！！！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=928213&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-28,1,595,物语血殇,,
公选A系列课程选课技巧&课程推荐，请捅正版“捅奶牛”,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=926888&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-22,6,10259,夏初,,
[求合租]岑村红花岗或者岑村沙埔大街,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=927910&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-26,5,684,孤独的咏叹调,,
毕业快两年申请了暂缓的老人想问下怎样回校拿三方协议,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=924474&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-11,8,1794,goodboy0207,,
二手全自动洗衣机出售，150元出,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=927790&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-26,0,767,kaikaizizi123,,
地铁1号线西门口附近房子￥1000元#转租#啦,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=927594&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-25,3,809,李雪楠,,
UCG中国大学生电子竞技官方联赛火热报名,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=927601&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-25,1,1039,新五,,
广州天河员村四横路公寓转租,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=925198&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-14,3,852,李雪楠,,
毕业短程游，【珠海外伶仃岛】求队友啦，有一起的吗？,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=926903&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-22,4,909,nestbal,,
【毕业大酬宾】 酒钱到手，兄弟慢走,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=926999&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-22,14,1240,咖喱鱼蛋档,,
华农内茶山小区房暑假放租,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=927050&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-22,2,732,abcsoso,,
求一名伟大的摄影师！——我的学位授予仪式,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=926553&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-21,7,923,猪囡囡lulu,,
毕业游来组队啦（限女生多的班级）,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=926190&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-19,6,823,渊之流动,,
我们都是抓住毕业的尾巴，想在附近找人合租，最好是本校的,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=924954&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-13,7,1004,正步走～～～,,
短期招租~地点在茶山！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=923645&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-6,12,1247,babybearxu,,
求问留过校的同学暑假东区运动场会开门吗~~,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=926176&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-19,3,565,pell,,
华农求合租，女生,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=921282&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-5-29,17,1974,StinLin,,
地铁3号线“南方医院站”上盖小区，招华农合租女舍友,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=923771&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-7,7,1173,天使爱美,,
嘉禾望岗地铁站那边人多吗,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=923163&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-5,3,1237,天使爱美,,
临近毕业，学生证却被弄丢了,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=925185&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-14,4,941,ChenJY2163,,
学校交电费的部门也是让我醉了,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=903726&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-4-14,13,2204,盖聂,,
体测成绩异常,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=925290&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-15,0,743,zhanghaihui,,
【谁刚刚刷到了一门批判性思维啊啊啊啊啊】,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=583295&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2014-9-17,4,1038,qq1002948720,,
华农师兄赞助学校三下乡团队,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=924746&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-13,2,748,秦玉台州,,
中外厨艺比拼&美食分享活动,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=924809&extra=page%3D8,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2016-6-13,0,530,Toryna,,
